Class 0,Class 1,Class 2,Class 3,Class 4,Overall Accuracy,G-mean,Avg_Pfm,Training Time
0.42586750788643535,0.3951219512195122,0.2857142857142857,0.3125,0.6666666666666666,0.41526315789473683,0.3982348623787433,0.40674901013674003,0.441
0.832807570977918,0.11707317073170732,0.054945054945054944,0.125,0.0,0.7110526315789474,0.05823286185820159,0.38464274671857446,0.064
0.4914826498422713,0.551219512195122,0.18681318681318682,0.125,0.0,0.47947368421052633,0.09124940958901286,0.2853615468997696,0.323
1.0,0.0,0.0,0.0,0.3333333333333333,0.8347368421052631,0.012722596365393917,0.42372971923532854,3.689
1.0,0.0,0.0,0.0,0.0,0.8342105263157895,0.003981071705534972,0.41909579901066224,4.519
0.47318611987381703,0.40487804878048783,0.12087912087912088,0.25,0.6666666666666666,0.4473684210526316,0.32908739973248236,0.388227910392557,15.324
0.5148264984227129,0.47804878048780486,0.03296703296703297,0.1875,0.3333333333333333,0.48473684210526313,0.2192898837439781,0.3520133629246206,4.959
0.45488958990536277,0.21951219512195122,0.2087912087912088,0.5,0.6666666666666666,0.41842105263157897,0.370161393100072,0.3942912228658255,5.859
0.42902208201892744,0.43902439024390244,0.24175824175824176,0.1875,0.3333333333333333,0.4189473684210526,0.3096320585096449,0.3642897134653488,15.458
0.5356466876971608,0.24878048780487805,0.16483516483516483,0.0625,0.0,0.48210526315789476,0.06722408885311755,0.27466467600550615,7.001
0.5255520504731861,0.35609756097560974,0.23076923076923078,0.0625,0.3333333333333333,0.48894736842105263,0.24593723143719343,0.36744229992912303,4.62
0.4214511041009464,0.48292682926829267,0.17582417582417584,0.3125,0.6666666666666666,0.41578947368421054,0.37539905625903874,0.39559426497162464,15.872
0.5192429022082019,0.36097560975609755,0.31868131868131866,0.0,0.6666666666666666,0.4884210526315789,0.1318325810159986,0.31012681682378873,11.52
0.48580441640378547,0.4195121951219512,0.24175824175824176,0.0,0.6666666666666666,0.4631578947368421,0.12685255402581458,0.29500522438132837,13.395
0.44100946372239747,0.3024390243902439,0.2967032967032967,0.4375,0.0,0.41842105263157897,0.11160335060202259,0.2650122016168008,7.277
0.4359621451104101,0.3951219512195122,0.2857142857142857,0.1875,0.0,0.42157894736842105,0.09840623888689105,0.25999259312765605,6.879
0.4889589905362776,0.34146341463414637,0.15384615384615385,0.125,0.6666666666666666,0.45421052631578945,0.2924855415450025,0.37334803393039595,14.748
0.47634069400630913,0.3853658536585366,0.27472527472527475,0.0625,0.6666666666666666,0.4536842105263158,0.2914041000486888,0.3725441552875023,8.188
0.63596214511041,0.17073170731707318,0.14285714285714285,0.25,0.6666666666666666,0.5589473684210526,0.3037380718516992,0.4313427201363759,4.169
0.39873817034700315,0.4146341463414634,0.2857142857142857,0.1875,0.6666666666666666,0.3936842105263158,0.3582935326264434,0.3759888715763796,10.565
0.4416403785488959,0.4634146341463415,0.31868131868131866,0.0,0.6666666666666666,0.43473684210526314,0.13417165377545082,0.284454247940357,8.788
0.5167192429022082,0.40487804878048783,0.2087912087912088,0.1875,0.6666666666666666,0.48736842105263156,0.35272822883009636,0.42004832494136396,16.101
0.5406940063091482,0.17560975609756097,0.15384615384615385,0.125,0.6666666666666666,0.47947368421052633,0.2612649305208479,0.37036930736568713,6.172
0.5211356466876972,0.05365853658536585,0.3626373626373626,0.4375,0.0,0.46157894736842103,0.08499786986059024,0.27328840861450565,6.591
0.44353312302839115,0.14634146341463414,0.1978021978021978,0.25,0.3333333333333333,0.39789473684210525,0.2546060174865315,0.3262503771643184,4.685
0.4359621451104101,0.43414634146341463,0.24175824175824176,0.0625,0.3333333333333333,0.4231578947368421,0.24879691761445535,0.33597740617564875,12.347
0.41261829652996845,0.3170731707317073,0.4725274725274725,0.0,0.0,0.4010526315789474,0.03615988229509786,0.21860625693702262,8.714
0.8744479495268139,0.014634146341463415,0.02197802197802198,0.25,0.0,0.7342105263157894,0.037102740928691286,0.38565663362224034,3.998
0.44290220820189274,0.4585365853658537,0.24175824175824176,0.0625,0.6666666666666666,0.4321052631578947,0.2898480460304348,0.3609766545941647,13.011
0.4757097791798107,0.375609756097561,0.1978021978021978,0.125,0.6666666666666666,0.44894736842105265,0.31176385436019205,0.38035561139062235,11.735
0.4277602523659306,0.3024390243902439,0.2087912087912088,0.25,0.6666666666666666,0.4026315789473684,0.33937499677097716,0.3710032878591728,10.333
0.5425867507886435,0.4,0.0989010989010989,0.4375,0.0,0.5042105263157894,0.09875103817841366,0.30148078224710156,10.762
0.5154574132492113,0.424390243902439,0.0,0.0,0.6666666666666666,0.4768421052631579,0.04293123524884884,0.25988667025600337,2.211
0.4637223974763407,0.33170731707317075,0.34065934065934067,0.0,0.6666666666666666,0.44,0.12842466257560112,0.28421233128780055,2.149
0.3476340694006309,0.4292682926829268,0.3956043956043956,0.125,0.0,0.3563157894736842,0.09410321322004524,0.2252095013468647,2.197
0.3804416403785489,0.08780487804878048,0.18681318681318682,0.4375,0.0,0.3394736842105263,0.07713268601768453,0.20830318511410542,2.152
0.03533123028391167,0.6439024390243903,0.0,0.4375,0.0,0.10263157894736842,0.025095241395482863,0.06386341017142565,2.157
0.0277602523659306,0.6536585365853659,0.16483516483516483,0.5,0.0,0.10578947368421053,0.06838468388020554,0.08708707878220803,2.185
0.38801261829652994,0.2,0.23076923076923078,0.1875,0.6666666666666666,0.3589473684210526,0.295115997435957,0.3270316829285048,2.141
0.232807570977918,0.24878048780487805,0.1978021978021978,0.125,0.6666666666666666,0.2326315789473684,0.24887006216467214,0.24075082055602026,2.267
0.31167192429022084,0.18536585365853658,0.15384615384615385,0.25,0.0,0.2894736842105263,0.07402029540821453,0.18174698980937043,2.249
0.5179810725552051,0.45365853658536587,0.24175824175824176,0.0,0.3333333333333333,0.49315789473684213,0.11362152196402088,0.3033897083504315,2.143
0.33753943217665616,0.4878048780487805,0.17582417582417584,0.25,0.3333333333333333,0.3452631578947368,0.2995667444520876,0.32241495117341223,2.21
0.2858044164037855,0.7268292682926829,0.054945054945054944,0.0625,0.0,0.32,0.058974191329917866,0.18948709566495894,2.224
0.6176656151419558,0.15609756097560976,0.054945054945054944,0.0,0.3333333333333333,0.5352631578947369,0.07069543644172449,0.3029792971682307,2.193
0.3741324921135647,0.43414634146341463,0.16483516483516483,0.0,0.6666666666666666,0.3678947368421053,0.1122855927660559,0.24009016480408057,2.178
0.35457413249211356,0.5073170731707317,0.10989010989010989,0.3125,0.0,0.358421052631579,0.09081530196361556,0.22461817729759725,2.146
0.2801261829652997,0.5024390243902439,0.10989010989010989,0.25,0.0,0.29526315789473684,0.08269269322123028,0.18897792555798357,2.576
0.33817034700315457,0.4975609756097561,0.17582417582417584,0.1875,0.3333333333333333,0.3463157894736842,0.2840456144315779,0.31518070195263104,2.17
0.20441640378548895,0.32682926829268294,0.14285714285714285,0.375,0.3333333333333333,0.2163157894736842,0.2602134445439537,0.23826461700881896,2.188
0.2662460567823344,0.32195121951219513,0.24175824175824176,0.25,0.0,0.27052631578947367,0.0876756332285137,0.17910097450899368,2.211
0.09211356466876972,0.551219512195122,0.3626373626373626,0.0,0.3333333333333333,0.15421052631578946,0.09069845578352531,0.12245449104965739,2.157
0.48706624605678234,0.44390243902439025,0.12087912087912088,0.1875,0.0,0.46157894736842103,0.08670529615838708,0.2741421217634041,2.186
0.4214511041009464,0.18536585365853658,0.46153846153846156,0.125,0.0,0.39473684210526316,0.08526660444667007,0.2400017232759666,2.149
0.3249211356466877,0.17560975609756097,0.5164835164835165,0.1875,0.0,0.3163157894736842,0.08881306701515461,0.20256442824441942,2.157
0.18359621451104102,0.44390243902439025,0.34065934065934067,0.0,0.3333333333333333,0.21789473684210525,0.09846231899300949,0.15817852791755738,2.19
0.5261829652996846,0.22926829268292684,0.2087912087912088,0.25,0.3333333333333333,0.4763157894736842,0.2913414978577978,0.383828643665741,2.176
0.4618296529968454,0.22926829268292684,0.3956043956043956,0.0,0.6666666666666666,0.43,0.12280021640856799,0.276400108204284,2.223
