,Class 0,Class 1,Class 2,Class 3,Class 4,Accuracy,AUC,G-mean,Avg_Pfm,Training Time
MLP-W-1,0.510617492681942,0.43477199492237084,0.14244667919107085,0.31949685534591193,0.6991150442477876,0.4836396942707346,0.705239252039618,0.37136841417600663,0.5200824534954531,21.815
MLP-W-2,0.525941253659029,0.3573381505712333,0.1838877224002652,0.2943396226415094,0.7168141592920354,0.48987219169140717,0.705056247689894,0.37373599910174554,0.5228881461610155,10.381
MLP-W-3,0.5934440294741092,0.356947563714481,0.07448336832799204,0.24213836477987422,0.7876106194690266,0.5406323037079148,0.6776026972192726,0.3131004795020718,0.5104451601430864,7.076
MLP-loss-1,0.5287296860805492,0.3650522409920906,0.20532655542048844,0.32452830188679244,0.6666666666666666,0.4942149369380751,0.6981814599621428,0.38604597672854435,0.526147457876254,200.705
MLP-loss-2,0.4828214898556576,0.4315496533541646,0.19593325229307107,0.320125786163522,0.7197640117994101,0.46268923841408205,0.7093141178179456,0.39326677748454447,0.5217567112388574,200.705
MLP-loss-3,0.47114414050671244,0.430670832926472,0.18300364681180242,0.3421383647798742,0.6843657817109144,0.45235613669382857,0.7040782810662557,0.3871237465381255,0.5145193880994032,200.705
MLP-loss-4,0.4878305743413748,0.43443023142271264,0.1791358161122776,0.34779874213836476,0.6460176991150443,0.4664792706293559,0.6974300456016087,0.38564595561185605,0.5165184239476069,200.705
MLP-loss-5,0.4588359240940749,0.46821599453178403,0.14863520831031052,0.31761006289308175,0.7227138643067846,0.44436022150632726,0.7067602661630328,0.37412540409444767,0.5084152972546027,200.705
MLP-accuracy-1,0.5074379226809327,0.4106044331608241,0.17029506022764945,0.370440251572327,0.6371681415929203,0.4800233718653275,0.7080597390296861,0.3842343306406479,0.5241058138452205,222.649
MLP-accuracy-2,0.4968772080347229,0.44683136412459723,0.1812354956348768,0.3289308176100629,0.6489675516224189,0.47531215126439685,0.7048999192657815,0.3861826038948277,0.5221315581416687,222.649
MLP-accuracy-3,0.5486903199757747,0.369934576701494,0.19206542159354625,0.29748427672955974,0.6873156342182891,0.5105752426673404,0.7079061845939456,0.3804559052549539,0.5329791108387466,222.649
MLP-accuracy-4,0.5435045927122237,0.3724245679132897,0.19250745938777766,0.24842767295597484,0.7551622418879056,0.5062482892215695,0.7157432572915451,0.3739261761389515,0.5319725742173554,222.649
MLP-accuracy-5,0.4858748864439285,0.3846792305438922,0.20941540501712896,0.3471698113207547,0.6784660766961652,0.4609784599835765,0.7069993059845867,0.3916881038919633,0.5198886232867088,222.649
MLP-kappa-1,0.5067565862521449,0.5037593984962406,0.060890706155376284,0.41320754716981134,0.6106194690265486,0.48459773019181773,0.7132970945098552,0.33014330404112396,0.5093460429142657,247.259
MLP-kappa-2,0.5436812354900575,0.4169026462259545,0.14631450989059563,0.1949685534591195,0.775811209439528,0.5085802118206894,0.7118810389529455,0.3467986534348148,0.5224199680694833,247.259
MLP-kappa-3,0.5438326435853437,0.39166097060833904,0.15747596419493867,0.26352201257861635,0.7551622418879056,0.5070536710673151,0.7098328138593885,0.36718877986919224,0.5280250882652986,247.259
MLP-kappa-4,0.5596800242252953,0.40743091494971195,0.06696872582605813,0.2710691823899371,0.7669616519174042,0.5177499842081991,0.7003478947323825,0.31647829009954404,0.5115253896800418,247.259
MLP-kappa-5,0.5397509336832542,0.4313543599257885,0.10001105094485578,0.2572327044025157,0.7551622418879056,0.505137599225149,0.7021656875157334,0.33969441549530666,0.5156659007453963,247.259
MLP-f1_micro-1,0.45752372060159485,0.5137681867005175,0.10962537296938889,0.32452830188679244,0.7138643067846607,0.44636051628661066,0.6991822795570644,0.35908067307812214,0.5015411563072657,236.289
MLP-f1_micro-2,0.4723932572928233,0.47046186895810954,0.1628909271742734,0.32955974842767294,0.6902654867256637,0.4566357147369086,0.7078222835543441,0.3829438218909,0.5158006067273843,236.289
MLP-f1_micro-3,0.49532527505803975,0.4921882628649546,0.10443142888716986,0.32578616352201256,0.7050147492625368,0.4753226791316615,0.7142838509957203,0.35759938247379275,0.5157353042003915,236.289
MLP-f1_micro-4,0.4671696780054507,0.4852553461576018,0.15228202011271963,0.24654088050314465,0.7581120943952803,0.4527930431853115,0.7001135760514359,0.36470624046279415,0.5058709532331805,236.289
MLP-f1_micro-5,0.491357121227415,0.3747192656967093,0.22223450104983977,0.29559748427672955,0.7315634218289085,0.46475270039795336,0.7009156408048127,0.38848432055713417,0.5180508872533002,236.289
